workcenter,product,plannedProduction,good,rework,scrap,shift,plannedStop,unPlannedStop,date
Workcenter 3,refrigerante laranja,300,210,90,90,7,2,1.5,19/03/2021
Workcenter 1,refrigerante cola,400,280,120,40,8,2,2.5,22/03/2021
Workcenter 2,refrigerante cola,450,225,135,90,6,1,0.5,22/03/2021
Workcenter 3,refrigerante limao,400,360,40,40,8,1,1,22/03/2021
Workcenter 1,refrigerante cola,400,320,40,20,8,1,0.5,23/03/2021
Workcenter 2,refrigerante laranja,250,125,13,75,6,2,0.5,23/03/2021
Workcenter 3,refrigerante limao,300,240,30,90,6,2,2.5,23/03/2021
Workcenter 1,refrigerante cola,550,495,28,55,7,2,1.5,24/03/2021
Workcenter 2,refrigerante limao,550,440,165,28,6,1,1,24/03/2021
Workcenter 3,refrigerante laranja,600,480,120,180,7,1,2.5,24/03/2021
Workcenter 1,refrigerante cola,150,120,8,8,6,2,2,25/03/2021
Workcenter 2,refrigerante laranja,300,210,15,15,7,2,2.5,25/03/2021
Workcenter 3,refrigerante laranja,200,160,20,20,6,1,1,25/03/2021
Workcenter 1,refrigerante limao,250,225,50,50,8,2,2.5,26/03/2021
Workcenter 2,refrigerante limao,450,315,135,45,7,2,1,26/03/2021
Workcenter 3,refrigerante limao,300,180,30,60,7,1,2.5,26/03/2021
Workcenter 1,refrigerante limao,350,280,105,70,7,1,2.5,29/03/2021
Workcenter 2,refrigerante laranja,200,100,20,60,7,2,1,29/03/2021
Workcenter 3,refrigerante limao,400,240,40,120,6,1,2,29/03/2021
Workcenter 1,refrigerante limao,550,275,110,110,8,2,1,30/03/2021
Workcenter 2,refrigerante laranja,300,240,90,15,7,2,2,30/03/2021
Workcenter 3,refrigerante limao,200,160,20,20,6,2,0.5,30/03/2021
Workcenter 1,refrigerante cola,500,400,50,100,6,1,1,31/03/2021
Workcenter 2,refrigerante limao,250,225,25,13,6,2,2,31/03/2021
Workcenter 3,refrigerante cola,400,240,40,80,6,2,1,31/03/2021
Workcenter 1,refrigerante limao,400,360,80,120,6,1,1,01/04/2021
Workcenter 2,refrigerante limao,550,440,28,165,6,2,1,01/04/2021
Workcenter 3,refrigerante laranja,350,280,70,35,6,1,1,01/04/2021
Workcenter 1,refrigerante laranja,550,440,165,110,8,2,1.5,02/04/2021
Workcenter 2,refrigerante limao,600,540,60,120,8,2,2,02/04/2021
Workcenter 3,refrigerante cola,350,245,35,70,8,2,1.5,02/04/2021
Workcenter 1,refrigerante cola,350,280,18,18,8,1,0.5,05/04/2021
Workcenter 2,refrigerante limao,250,125,75,13,8,1,1,05/04/2021
Workcenter 3,refrigerante cola,300,210,30,30,6,1,1,05/04/2021
Workcenter 1,refrigerante cola,550,440,55,110,8,2,2,06/04/2021
Workcenter 2,refrigerante limao,400,240,80,20,7,2,0.5,06/04/2021
Workcenter 3,refrigerante cola,200,140,20,40,7,2,0.5,06/04/2021
Workcenter 1,refrigerante cola,150,135,30,15,8,2,2,07/04/2021
Workcenter 2,refrigerante limao,150,75,8,8,6,2,1,07/04/2021
Workcenter 3,refrigerante cola,150,120,15,30,6,1,1,07/04/2021
Workcenter 1,refrigerante cola,500,300,25,150,7,2,2.5,08/04/2021
Workcenter 2,refrigerante cola,200,120,20,10,8,2,1,08/04/2021
Workcenter 3,refrigerante limao,500,350,25,25,6,1,2,08/04/2021
Workcenter 1,refrigerante limao,250,200,25,25,8,1,2.5,09/04/2021
Workcenter 2,refrigerante cola,500,450,50,25,7,1,0.5,09/04/2021
Workcenter 3,refrigerante cola,150,90,15,15,8,1,2.5,09/04/2021
Workcenter 1,refrigerante laranja,550,440,28,110,7,1,0.5,12/04/2021
Workcenter 2,refrigerante cola,250,125,13,25,6,2,2.5,12/04/2021
Workcenter 3,refrigerante limao,300,210,90,15,6,2,0.5,12/04/2021
Workcenter 1,refrigerante limao,350,315,35,35,8,1,1,13/04/2021
Workcenter 2,refrigerante laranja,150,75,45,30,7,1,0.5,13/04/2021
Workcenter 3,refrigerante laranja,150,75,30,15,6,2,2,13/04/2021
Workcenter 1,refrigerante laranja,250,150,75,25,7,1,1.5,14/04/2021
Workcenter 2,refrigerante cola,350,210,18,70,7,1,2,14/04/2021
Workcenter 3,refrigerante cola,500,300,100,150,7,1,1,14/04/2021
Workcenter 1,refrigerante cola,350,245,70,105,6,1,0.5,15/04/2021
Workcenter 2,refrigerante cola,500,350,100,100,6,1,2.5,15/04/2021
Workcenter 3,refrigerante limao,550,385,28,165,7,2,2,15/04/2021
Workcenter 1,refrigerante laranja,550,275,110,55,6,1,1.5,16/04/2021
Workcenter 2,refrigerante laranja,200,160,60,60,7,2,1.5,16/04/2021
Workcenter 3,refrigerante cola,150,135,8,8,6,1,0.5,16/04/2021
Workcenter 1,refrigerante cola,150,90,30,45,6,2,0.5,19/04/2021
Workcenter 2,refrigerante limao,150,105,8,45,6,2,0.5,19/04/2021
Workcenter 3,refrigerante cola,300,240,15,90,7,2,2,19/04/2021
Workcenter 1,refrigerante cola,300,150,30,60,8,1,2.5,20/04/2021
Workcenter 2,refrigerante cola,300,240,90,30,7,2,0.5,20/04/2021
Workcenter 3,refrigerante limao,500,300,150,100,8,1,2.5,20/04/2021
Workcenter 1,refrigerante limao,150,75,45,15,7,2,1.5,21/04/2021
Workcenter 2,refrigerante cola,550,440,28,110,6,2,2.5,21/04/2021
Workcenter 3,refrigerante laranja,350,280,35,105,7,2,2.5,21/04/2021
Workcenter 1,refrigerante laranja,500,350,50,100,6,1,0.5,22/04/2021
Workcenter 2,refrigerante limao,550,385,55,165,6,2,1,22/04/2021
Workcenter 3,refrigerante cola,450,360,45,90,7,1,0.5,22/04/2021
Workcenter 1,refrigerante laranja,350,210,105,105,7,1,1,23/04/2021
Workcenter 2,refrigerante cola,200,100,20,10,8,1,2,23/04/2021
Workcenter 3,refrigerante laranja,450,225,23,90,7,1,0.5,23/04/2021
Workcenter 1,refrigerante laranja,450,360,45,135,7,1,2.5,26/04/2021
Workcenter 2,refrigerante laranja,450,405,90,135,7,1,1.5,26/04/2021
Workcenter 3,refrigerante cola,450,225,23,135,8,1,0.5,26/04/2021
Workcenter 1,refrigerante limao,200,120,40,10,7,2,1.5,27/04/2021
Workcenter 2,refrigerante limao,250,150,75,25,7,1,1.5,27/04/2021
Workcenter 3,refrigerante cola,600,300,60,60,7,2,1.5,27/04/2021
Workcenter 1,refrigerante cola,350,315,35,70,6,1,0.5,28/04/2021
Workcenter 2,refrigerante cola,450,270,45,45,8,2,1.5,28/04/2021
Workcenter 3,refrigerante laranja,350,280,105,105,6,2,1,28/04/2021
Workcenter 1,refrigerante laranja,550,275,110,110,7,2,1,29/04/2021
Workcenter 2,refrigerante cola,200,140,60,10,8,2,2,29/04/2021
Workcenter 3,refrigerante cola,200,140,10,60,6,2,0.5,29/04/2021
Workcenter 1,refrigerante limao,550,495,165,165,6,2,2,30/04/2021
Workcenter 2,refrigerante limao,400,240,80,80,7,1,2,30/04/2021
Workcenter 3,refrigerante limao,450,315,90,23,6,2,0.5,30/04/2021
Workcenter 1,refrigerante laranja,500,250,100,50,7,2,2,03/05/2021
Workcenter 2,refrigerante cola,450,315,135,45,6,2,0.5,03/05/2021
Workcenter 3,refrigerante limao,250,150,50,13,6,1,2,03/05/2021
Workcenter 1,refrigerante laranja,150,75,8,45,6,1,0.5,04/05/2021
Workcenter 2,refrigerante limao,600,480,60,180,7,2,2.5,04/05/2021
Workcenter 3,refrigerante laranja,250,150,50,25,6,2,0.5,04/05/2021
Workcenter 1,refrigerante cola,500,400,100,100,6,2,0.5,05/05/2021
Workcenter 2,refrigerante limao,500,300,100,25,7,2,1.5,05/05/2021
Workcenter 3,refrigerante limao,350,280,105,70,6,2,2,05/05/2021
Workcenter 1,refrigerante limao,500,450,150,150,7,1,2.5,06/05/2021
Workcenter 2,refrigerante limao,450,270,23,45,8,1,1,06/05/2021
Workcenter 3,refrigerante laranja,250,150,50,13,6,2,1.5,06/05/2021
Workcenter 1,refrigerante cola,300,150,90,15,6,2,0.5,07/05/2021
Workcenter 2,refrigerante limao,500,400,25,150,8,2,2.5,07/05/2021
Workcenter 3,refrigerante cola,600,420,30,120,7,1,2,07/05/2021
Workcenter 1,refrigerante laranja,350,245,18,18,6,1,1,10/05/2021
Workcenter 2,refrigerante cola,350,315,18,70,8,1,1,10/05/2021
Workcenter 3,refrigerante laranja,150,75,30,15,7,2,1,10/05/2021
Workcenter 1,refrigerante cola,150,90,8,45,8,1,1.5,11/05/2021
Workcenter 2,refrigerante laranja,400,360,40,40,7,2,2.5,11/05/2021
Workcenter 3,refrigerante laranja,550,330,28,110,6,2,2.5,11/05/2021
Workcenter 1,refrigerante limao,300,210,90,30,8,2,0.5,12/05/2021
Workcenter 2,refrigerante cola,450,360,90,23,7,2,1,12/05/2021
Workcenter 3,refrigerante limao,250,175,13,13,7,2,2,12/05/2021
Workcenter 1,refrigerante limao,450,360,90,45,7,1,1.5,13/05/2021
Workcenter 2,refrigerante cola,250,150,25,13,6,1,1.5,13/05/2021
Workcenter 3,refrigerante limao,550,495,28,110,8,1,2,13/05/2021
Workcenter 1,refrigerante cola,500,450,50,50,7,1,1,14/05/2021
Workcenter 2,refrigerante limao,250,225,25,25,7,2,2,14/05/2021
Workcenter 3,refrigerante laranja,550,275,165,165,7,2,2.5,14/05/2021
Workcenter 1,refrigerante limao,300,210,90,30,7,2,1,17/05/2021
Workcenter 2,refrigerante limao,200,100,20,40,7,1,2.5,17/05/2021
Workcenter 3,refrigerante cola,350,245,35,70,7,1,1.5,17/05/2021
Workcenter 1,refrigerante limao,150,105,45,45,7,1,1.5,18/05/2021
Workcenter 2,refrigerante limao,400,200,40,40,7,1,2,18/05/2021
Workcenter 3,refrigerante cola,350,210,18,35,6,2,2,18/05/2021
Workcenter 1,refrigerante laranja,500,450,100,100,7,1,1,19/05/2021
Workcenter 2,refrigerante limao,600,360,60,120,8,1,2,19/05/2021
Workcenter 3,refrigerante laranja,400,240,80,80,7,1,1,19/05/2021
Workcenter 1,refrigerante limao,300,180,15,90,8,1,2.5,20/05/2021
Workcenter 2,refrigerante limao,350,175,70,35,7,1,1,20/05/2021
Workcenter 3,refrigerante limao,500,300,100,25,8,1,2,20/05/2021
Workcenter 1,refrigerante limao,600,420,60,120,6,1,1,21/05/2021
Workcenter 2,refrigerante cola,150,105,8,30,6,2,1,21/05/2021
Workcenter 3,refrigerante limao,400,200,40,40,8,1,2,21/05/2021
Workcenter 1,refrigerante laranja,400,320,40,80,6,1,0.5,24/05/2021
Workcenter 2,refrigerante cola,400,280,40,40,7,2,2.5,24/05/2021
Workcenter 3,refrigerante cola,600,480,30,180,7,1,2.5,24/05/2021
Workcenter 1,refrigerante laranja,450,225,23,45,6,2,1.5,25/05/2021
Workcenter 2,refrigerante laranja,350,175,18,70,7,2,2,25/05/2021
Workcenter 3,refrigerante laranja,300,270,15,90,8,1,2,25/05/2021
Workcenter 1,refrigerante cola,300,240,15,90,6,2,1,26/05/2021
Workcenter 2,refrigerante laranja,300,150,30,90,6,1,1.5,26/05/2021
Workcenter 3,refrigerante cola,400,360,40,20,6,2,2.5,26/05/2021
Workcenter 1,refrigerante limao,200,160,60,60,7,2,1.5,27/05/2021
Workcenter 2,refrigerante limao,150,135,15,45,6,1,1.5,27/05/2021
Workcenter 3,refrigerante cola,500,250,25,100,7,1,1.5,27/05/2021
Workcenter 1,refrigerante laranja,200,180,40,60,6,2,0.5,28/05/2021
Workcenter 2,refrigerante cola,250,175,75,50,8,1,0.5,28/05/2021
Workcenter 3,refrigerante cola,450,405,45,135,8,2,0.5,28/05/2021
Workcenter 1,refrigerante cola,300,180,90,90,6,1,2.5,31/05/2021
Workcenter 2,refrigerante limao,250,150,13,50,6,2,1.5,31/05/2021
Workcenter 3,refrigerante limao,300,270,15,15,7,2,1.5,31/05/2021
Workcenter 1,refrigerante limao,150,90,8,30,8,2,1,01/06/2021
Workcenter 2,refrigerante laranja,150,120,45,30,6,2,0.5,01/06/2021
Workcenter 3,refrigerante cola,500,300,150,25,7,2,1.5,01/06/2021
Workcenter 1,refrigerante laranja,150,90,30,30,7,2,2.5,02/06/2021
Workcenter 2,refrigerante laranja,300,210,90,30,6,2,1,02/06/2021
Workcenter 3,refrigerante cola,150,75,30,15,7,1,1.5,02/06/2021
Workcenter 1,refrigerante laranja,300,210,60,30,8,2,1.5,03/06/2021
Workcenter 2,refrigerante laranja,200,180,10,20,7,1,2,03/06/2021
Workcenter 3,refrigerante limao,600,300,30,120,6,1,2,03/06/2021
Workcenter 1,refrigerante laranja,450,315,45,45,7,2,0.5,04/06/2021
Workcenter 2,refrigerante laranja,350,245,35,105,7,1,2,04/06/2021
Workcenter 3,refrigerante limao,150,105,45,45,8,2,0.5,04/06/2021
Workcenter 1,refrigerante laranja,400,240,120,40,8,1,1,07/06/2021
Workcenter 2,refrigerante laranja,200,120,20,20,6,2,2,07/06/2021
Workcenter 3,refrigerante limao,450,315,45,45,6,1,2.5,07/06/2021
Workcenter 1,refrigerante limao,350,245,18,105,7,1,0.5,08/06/2021
Workcenter 2,refrigerante cola,550,385,55,28,8,2,1,08/06/2021
Workcenter 3,refrigerante laranja,250,175,75,50,7,1,0.5,08/06/2021
Workcenter 1,refrigerante laranja,250,175,25,75,8,1,1,09/06/2021
Workcenter 2,refrigerante limao,400,200,40,40,7,1,2,09/06/2021
Workcenter 3,refrigerante limao,250,175,50,75,7,2,0.5,09/06/2021
Workcenter 1,refrigerante laranja,500,350,150,25,7,1,2.5,10/06/2021
Workcenter 2,refrigerante cola,500,450,25,25,6,1,1.5,10/06/2021
Workcenter 3,refrigerante limao,400,200,120,80,6,2,2,10/06/2021
Workcenter 1,refrigerante cola,300,150,30,60,6,1,0.5,11/06/2021
Workcenter 2,refrigerante limao,500,300,100,50,6,2,1,11/06/2021
Workcenter 3,refrigerante cola,150,75,8,8,8,1,0.5,11/06/2021
Workcenter 1,refrigerante laranja,450,405,45,90,8,1,0.5,14/06/2021
Workcenter 2,refrigerante cola,400,200,120,120,7,2,0.5,14/06/2021
Workcenter 3,refrigerante laranja,300,180,90,15,6,2,1.5,14/06/2021
Workcenter 1,refrigerante laranja,200,120,20,20,6,2,2,15/06/2021
Workcenter 2,refrigerante limao,300,150,90,15,8,1,2.5,15/06/2021
Workcenter 3,refrigerante laranja,500,400,25,25,6,1,1.5,15/06/2021
Workcenter 1,refrigerante limao,250,225,75,25,7,1,1.5,16/06/2021
Workcenter 2,refrigerante limao,500,350,150,100,6,1,1.5,16/06/2021
Workcenter 3,refrigerante laranja,600,360,30,30,7,1,1.5,16/06/2021
Workcenter 1,refrigerante limao,150,90,8,8,8,2,1,17/06/2021
Workcenter 2,refrigerante cola,600,480,120,120,8,1,2,17/06/2021
Workcenter 3,refrigerante laranja,400,240,120,20,8,1,2.5,17/06/2021
Workcenter 1,refrigerante laranja,450,315,23,90,6,2,1,18/06/2021
Workcenter 2,refrigerante cola,200,180,10,60,7,1,1.5,18/06/2021
Workcenter 3,refrigerante cola,300,180,15,30,8,1,1.5,18/06/2021
Workcenter 1,refrigerante laranja,600,480,120,60,8,2,1,21/06/2021
Workcenter 2,refrigerante laranja,450,270,90,90,8,1,2.5,21/06/2021
Workcenter 3,refrigerante limao,350,210,105,70,7,2,0.5,21/06/2021
Workcenter 1,refrigerante limao,600,360,180,180,6,2,2,22/06/2021
Workcenter 2,refrigerante limao,500,350,25,150,8,2,1,22/06/2021
Workcenter 3,refrigerante limao,350,245,70,70,6,2,2,22/06/2021
Workcenter 1,refrigerante laranja,500,350,100,25,6,2,0.5,23/06/2021
Workcenter 2,refrigerante laranja,500,450,100,50,7,2,0.5,23/06/2021
Workcenter 3,refrigerante laranja,150,135,30,45,6,2,2.5,23/06/2021
Workcenter 1,refrigerante cola,200,120,60,20,7,2,1,24/06/2021
Workcenter 2,refrigerante limao,300,270,30,15,7,2,1,24/06/2021
Workcenter 3,refrigerante cola,500,400,150,150,8,1,2.5,24/06/2021
Workcenter 1,refrigerante limao,250,150,75,50,7,2,1.5,25/06/2021
Workcenter 2,refrigerante laranja,300,240,90,15,7,2,2,25/06/2021
Workcenter 3,refrigerante laranja,150,75,30,45,8,1,2,25/06/2021
Workcenter 1,refrigerante cola,350,175,35,18,7,2,2.5,28/06/2021
Workcenter 2,refrigerante laranja,200,140,10,10,6,1,2.5,28/06/2021
Workcenter 3,refrigerante limao,200,180,10,40,8,1,1.5,28/06/2021
Workcenter 1,refrigerante limao,350,315,70,18,7,2,2.5,29/06/2021
Workcenter 2,refrigerante limao,350,210,105,105,8,2,2.5,29/06/2021
Workcenter 3,refrigerante cola,250,150,75,75,8,2,2.5,29/06/2021
Workcenter 1,refrigerante laranja,550,330,110,110,8,2,0.5,30/06/2021
Workcenter 2,refrigerante limao,200,120,60,10,8,1,1.5,30/06/2021
Workcenter 3,refrigerante limao,450,405,45,135,6,1,0.5,30/06/2021
Workcenter 1,refrigerante limao,250,125,50,75,7,2,2,01/07/2021
Workcenter 2,refrigerante laranja,350,280,105,70,6,2,1,01/07/2021
Workcenter 3,refrigerante laranja,500,450,25,100,6,1,2,01/07/2021
Workcenter 1,refrigerante laranja,150,75,45,15,6,1,2,02/07/2021
Workcenter 2,refrigerante cola,200,100,10,20,8,1,2.5,02/07/2021
Workcenter 3,refrigerante laranja,300,180,60,60,6,1,0.5,02/07/2021
Workcenter 1,refrigerante cola,600,540,120,120,6,2,1,05/07/2021
Workcenter 2,refrigerante limao,300,180,15,60,7,2,2.5,05/07/2021
Workcenter 3,refrigerante cola,250,225,25,75,6,1,1.5,05/07/2021
Workcenter 1,refrigerante laranja,250,125,25,25,6,2,2,06/07/2021
Workcenter 2,refrigerante limao,300,150,30,30,7,1,1,06/07/2021
Workcenter 3,refrigerante limao,200,180,60,20,8,2,0.5,06/07/2021
Workcenter 1,refrigerante laranja,200,120,20,40,7,2,1,07/07/2021
Workcenter 2,refrigerante limao,200,100,60,10,8,2,2,07/07/2021
Workcenter 3,refrigerante cola,150,105,45,30,8,2,1,07/07/2021
Workcenter 1,refrigerante laranja,550,495,110,28,8,1,2.5,08/07/2021
Workcenter 2,refrigerante limao,150,120,30,30,8,1,1,08/07/2021
Workcenter 3,refrigerante laranja,450,315,135,45,6,2,2,08/07/2021
Workcenter 1,refrigerante limao,150,75,15,15,6,1,1.5,09/07/2021
Workcenter 2,refrigerante limao,350,245,70,70,7,1,1,09/07/2021
Workcenter 3,refrigerante limao,150,120,15,30,8,1,0.5,09/07/2021
Workcenter 1,refrigerante laranja,300,210,15,60,7,1,1,12/07/2021
Workcenter 2,refrigerante laranja,350,315,35,35,8,2,1,12/07/2021
Workcenter 3,refrigerante cola,400,200,40,80,6,2,2.5,12/07/2021
Workcenter 1,refrigerante cola,550,275,165,28,6,1,0.5,13/07/2021
Workcenter 2,refrigerante cola,450,405,90,135,7,1,1.5,13/07/2021
Workcenter 3,refrigerante limao,400,240,20,120,6,2,1,13/07/2021
Workcenter 1,refrigerante limao,200,180,20,10,7,1,1.5,14/07/2021
Workcenter 2,refrigerante laranja,300,270,30,90,7,1,2.5,14/07/2021
Workcenter 3,refrigerante limao,400,240,20,20,7,1,1,14/07/2021
Workcenter 1,refrigerante cola,250,200,50,25,6,2,0.5,15/07/2021
Workcenter 2,refrigerante limao,400,200,80,40,8,1,1.5,15/07/2021
Workcenter 3,refrigerante limao,300,150,15,60,8,2,1.5,15/07/2021
Workcenter 1,refrigerante limao,500,300,100,25,6,2,1,16/07/2021
Workcenter 2,refrigerante limao,150,120,30,30,6,1,0.5,16/07/2021
Workcenter 3,refrigerante laranja,450,315,90,23,8,2,0.5,16/07/2021
Workcenter 1,refrigerante laranja,500,300,100,50,6,2,1.5,19/07/2021
Workcenter 2,refrigerante cola,600,420,60,180,8,1,2.5,19/07/2021
Workcenter 3,refrigerante limao,300,270,15,60,7,2,1,19/07/2021
Workcenter 1,refrigerante laranja,350,175,70,70,7,1,0.5,20/07/2021
Workcenter 2,refrigerante cola,600,300,60,180,7,2,1.5,20/07/2021
Workcenter 3,refrigerante laranja,350,280,105,105,6,1,2,20/07/2021
Workcenter 1,refrigerante limao,550,330,28,165,6,2,2.5,21/07/2021
Workcenter 2,refrigerante cola,400,280,120,40,8,2,1.5,21/07/2021
Workcenter 3,refrigerante laranja,400,320,40,80,7,1,2,21/07/2021
Workcenter 1,refrigerante limao,500,250,100,50,6,2,1,22/07/2021
Workcenter 2,refrigerante cola,400,240,80,120,7,1,0.5,22/07/2021
Workcenter 3,refrigerante limao,600,360,60,30,7,2,2,22/07/2021
Workcenter 1,refrigerante laranja,550,440,28,110,6,1,1,23/07/2021
Workcenter 2,refrigerante cola,350,245,70,35,6,2,0.5,23/07/2021
Workcenter 3,refrigerante laranja,350,280,70,105,7,1,2,23/07/2021
Workcenter 1,refrigerante laranja,600,300,30,180,6,2,1.5,26/07/2021
Workcenter 2,refrigerante cola,300,150,60,90,8,2,0.5,26/07/2021
Workcenter 3,refrigerante cola,500,450,150,100,6,2,1,26/07/2021
Workcenter 1,refrigerante limao,600,300,120,180,6,2,1.5,27/07/2021
Workcenter 2,refrigerante cola,500,400,100,100,8,1,2.5,27/07/2021
Workcenter 3,refrigerante limao,550,330,55,28,8,1,1.5,27/07/2021
Workcenter 1,refrigerante cola,300,150,30,15,6,2,2.5,28/07/2021
Workcenter 2,refrigerante laranja,450,225,23,90,7,2,1.5,28/07/2021
Workcenter 3,refrigerante laranja,500,300,150,25,8,1,2.5,28/07/2021
Workcenter 1,refrigerante limao,300,240,60,60,8,1,2.5,29/07/2021
Workcenter 2,refrigerante cola,500,300,50,150,7,1,1,29/07/2021
Workcenter 3,refrigerante cola,600,300,60,30,6,1,2,29/07/2021
Workcenter 1,refrigerante cola,200,140,10,40,6,1,2.5,30/07/2021
Workcenter 2,refrigerante laranja,250,125,25,50,6,2,2,30/07/2021
Workcenter 3,refrigerante laranja,300,240,90,90,6,2,1.5,30/07/2021
Workcenter 1,refrigerante cola,400,320,80,20,6,1,1.5,02/08/2021
Workcenter 2,refrigerante laranja,400,360,20,20,8,2,2.5,02/08/2021
Workcenter 3,refrigerante limao,250,125,75,25,7,2,2,02/08/2021
Workcenter 1,refrigerante cola,150,105,15,15,7,2,0.5,03/08/2021
Workcenter 2,refrigerante limao,500,400,50,100,7,2,1,03/08/2021
Workcenter 3,refrigerante laranja,350,245,70,105,6,1,2.5,03/08/2021
Workcenter 1,refrigerante limao,550,385,110,28,8,1,2,04/08/2021
Workcenter 2,refrigerante laranja,200,140,10,40,8,1,1.5,04/08/2021
Workcenter 3,refrigerante limao,200,180,20,20,6,2,1.5,04/08/2021
Workcenter 1,refrigerante cola,150,135,8,30,8,2,1.5,05/08/2021
Workcenter 2,refrigerante limao,150,105,15,30,6,1,2,05/08/2021
Workcenter 3,refrigerante limao,350,210,70,105,8,1,1,05/08/2021
Workcenter 1,refrigerante cola,200,140,60,10,7,2,0.5,06/08/2021
Workcenter 2,refrigerante limao,300,270,30,60,8,2,2,06/08/2021
Workcenter 3,refrigerante laranja,550,495,165,28,7,2,0.5,06/08/2021
